name,creator,creation_date,updater,update_date,closed_date,message
rails/rails,Aaron Patterson,1301431104000,Aaron Patterson,1301431104000,NaN,"v3.0.6.rc1"
rails/rails,Aaron Patterson,1298773222000,Aaron Patterson,1298773222000,NaN,"v3.0.5"
rails/rails,Aaron Patterson,1298413628000,Aaron Patterson,1298422388000,NaN,"v3.0.5.rc1"
rails/rails,Michael Koziarski,1297196328000,Michael Koziarski,1297196328000,NaN,"v3.0.4"
rails/rails,Michael Koziarski,1296423409000,Michael Koziarski,1296423409000,NaN,"v3.0.4.rc1"
rails/rails,David Heinemeier Hansson,1289924804000,David Heinemeier Hansson,1289924804000,NaN,"v3.0.3"
rails/rails,David Heinemeier Hansson,1289848982000,David Heinemeier Hansson,1289848982000,NaN,"v3.0.2"
rails/rails,Michael Koziarski,1287087180000,Michael Koziarski,1287087180000,NaN,"v3.0.1"
rails/rails,Loren Segal,1283118506000,wycats,1283119204000,NaN,"v3.0.0"
rails/rails,wycats,1276035027000,wycats,1276035027000,NaN,"v3.0.0.beta4"
rails/rails,wycats,1271192866000,wycats,1271192866000,NaN,"v3.0.0.beta.3"
rails/rails,wycats,1271192866000,wycats,1271192866000,NaN,"v3.0.0.beta3"
rails/rails,David Heinemeier Hansson,1270156803000,David Heinemeier Hansson,1270156803000,NaN,"v3.0.0.beta.2"
rails/rails,David Heinemeier Hansson,1270156803000,David Heinemeier Hansson,1270156803000,NaN,"v3.0.0.beta2"
rails/rails,Jeremy Kemper,1265390652000,Jeremy Kemper,1265390652000,NaN,"v3.0.0.beta1"
rails/rails,David Heinemeier Hansson,1282617659000,David Heinemeier Hansson,1282617659000,NaN,"v3.0.0_RC2"
rails/rails,Chad Fowler,1280180154000,David Heinemeier Hansson,1280180446000,NaN,"v3.0.0_RC"
rails/rails,Aaron Patterson,1363626100000,Aaron Patterson,1363626100000,NaN,"v2.3.18"
rails/rails,Aaron Patterson,1360552442000,Aaron Patterson,1360552442000,NaN,"v2.3.17"
rails/rails,Aaron Patterson,1359405716000,Aaron Patterson,1359405716000,NaN,"v2.3.16"
rails/rails,Aaron Patterson,1357606690000,Aaron Patterson,1357672601000,NaN,"v2.3.15"
rails/rails,Aaron Patterson,1313531919000,Aaron Patterson,1313531919000,NaN,"v2.3.14"
rails/rails,Aaron Patterson,1313530454000,Aaron Patterson,1313530454000,NaN,"v2.3.13"
rails/rails,Aaron Patterson,1307416967000,Aaron Patterson,1307416967000,NaN,"v2.3.12"
rails/rails,Michael Koziarski,1297197053000,Michael Koziarski,1297197053000,NaN,"v2.3.11"
rails/rails,Michael Koziarski,1287085319000,Michael Koziarski,1287085319000,NaN,"v2.3.10"
rails/rails,Jeremy Kemper,1283636200000,Jeremy Kemper,1283636200000,NaN,"v2.3.9"
rails/rails,Jeremy Kemper,1283128121000,Jeremy Kemper,1283138345000,NaN,"v2.3.9.pre"
rails/rails,Santiago Pastorino,1274556970000,Jeremy Kemper,1274759606000,NaN,"v2.3.8"
rails/rails,Jeremy Kemper,1274682987000,Jeremy Kemper,1274684681000,NaN,"v2.3.7"
rails/rails,Jeremy Kemper,1274597620000,Jeremy Kemper,1274597620000,NaN,"v2.3.6"
rails/rails,Gabe da Silveira,1258435055000,Michael Koziarski,1259269462000,NaN,"v2.3.5"
rails/rails,Michael Koziarski,1252014969000,Michael Koziarski,1252014969000,NaN,"v2.3.4"
rails/rails,Michael Koziarski,1247981265000,Michael Koziarski,1247981265000,NaN,"v2.3.3.1"
rails/rails,Michael Koziarski,1247629485000,Michael Koziarski,1247707847000,NaN,"v2.3.3"
rails/rails,Pratik Naik,1237292794000,Pratik Naik,1237292794000,NaN,"v2.3.2.1"
rails/rails,David Heinemeier Hansson,1237172810000,David Heinemeier Hansson,1237172810000,NaN,"v2.3.2"
rails/rails,David Heinemeier Hansson,1236252169000,David Heinemeier Hansson,1236252169000,NaN,"v2.3.1"
rails/rails,Pratik Naik,1233534063000,Pratik Naik,1233534063000,NaN,"v2.3.0"
rails/rails,Jeremy Kemper,1250981599000,Jeremy Kemper,1252843662000,NaN,"v2.2.3"
rails/rails,David Heinemeier Hansson,1227284726000,David Heinemeier Hansson,1227284726000,NaN,"v2.2.2"
rails/rails,Michael Koziarski,1226675457000,Michael Koziarski,1226675467000,NaN,"v2.2.1"
rails/rails,Pratik Naik,1224851752000,Pratik Naik,1224851752000,NaN,"v2.2.0"
rails/rails,David Heinemeier Hansson,1224778615000,David Heinemeier Hansson,1224778615000,NaN,"v2.1.2"
rails/rails,David Heinemeier Hansson,1220538700000,David Heinemeier Hansson,1220538700000,NaN,"v2.1.1"
rails/rails,rick,1212279736000,rick,1212279736000,NaN,"v2.1.0"
rails/rails,Frederick Cheung,1210548556000,Pratik Naik,1210548942000,NaN,"v2.1.0_RC1"
rails/rails,David Heinemeier Hansson,1224442141000,David Heinemeier Hansson,1224442141000,NaN,"v2.0.5"
rails/rails,David Heinemeier Hansson,1220536828000,David Heinemeier Hansson,1220536828000,NaN,"v2.0.4"
rails/rails,Michael Koziarski,1210549860000,Michael Koziarski,1210549860000,NaN,"v2.0.3"
rails/rails,David Heinemeier Hansson,1197854531000,David Heinemeier Hansson,1197854531000,NaN,"v2.0.2"
rails/rails,Jeremy Kemper,1197001220000,Jeremy Kemper,1197001220000,NaN,"v2.0.1"
